ID,w1,w2,w3,w4,type,fullTrial
1,zav,zloof,zlav,zoof,TT,zav zloof zlav zoof
2,zoof,zlav,zloof,zav,TT,zoof zlav zloof zav
3,zlav,zoof,zav,zloof,TT,zlav zoof zav zloof
4,zloof,zav,zoof,zlav,TT,zloof zav zoof zlav
5,zoov,zlaf,zloov,zaf,TT,zoov zlaf zloov zaf
6,zaf,zloov,zlaf,zoov,TT,zaf zloov zlaf zoov
7,zloov,zaf,zoov,zlaf,TT,zloov zaf zoov zlaf
8,zlaf,zoov,zaf,zloov,TT,zlaf zoov zaf zloov
9,shav,shpoof,shpav,shoof,TT,shav shpoof shpav shoof
10,shoof,shpav,shpoof,shav,TT,shoof shpav shpoof shav
11,shpav,shoof,shav,shpoof,TT,shpav shoof shav shpoof
12,shpoof,shav,shoof,shpav,TT,shpoof shav shoof shpav
13,shoov,shpaf,shpoov,shaf,TT,shoov shpaf shpoov shaf
14,shaf,shpoov,shpaf,shoov,TT,shaf shpoov shpaf shoov
15,shpoov,shaf,shoov,shpaf,TT,shpoov shaf shoov shpaf
16,shpaf,shoov,shaf,shpoov,TT,shpaf shoov shaf shpoov
17,zav,zoof,zlav,zloof,non,zav zoof zlav zloof
18,zoof,zav,zloof,zlav,non,zoof zav zloof zlav
19,zlav,zloof,zav,zoof,non,zlav zloof zav zoof
20,zloof,zlav,zoof,zav,non,zloof zlav zoof zav
21,zoov,zaf,zloov,zlaf,non,zoov zaf zloov zlaf
22,zaf,zoov,zlaf,zloov,non,zaf zoov zlaf zloov
23,zloov,zlaf,zoov,zaf,non,zloov zlaf zoov zaf
24,zlaf,zloov,zaf,zoov,non,zlaf zloov zaf zoov
25,shav,shoof,shpav,shpoof,non,shav shoof shpav shpoof
26,shoof,shav,shpoof,shpav,non,shoof shav shpoof shpav
27,shpav,shpoof,shav,shoof,non,shpav shpoof shav shoof
28,shpoof,shpav,shoof,shav,non,shpoof shpav shoof shav
29,shoov,shaf,shpoov,shpaf,non,shoov shaf shpoov shpaf
30,shaf,shoov,shpaf,shpoov,non,shaf shoov shpaf shpoov
31,shpoov,shpaf,shoov,shaf,non,shpoov shpaf shoov shaf
32,shpaf,shpoov,shaf,shoov,non,shpaf shpoov shaf shoov
33,zav,shoov,zloof,shpaf,ctrl,zav shoov zloof shpaf
34,zloof,shoov,zav,shpaf,ctrl,zloof shoov zav shpaf
35,zloof,shpaf,zav,shoov,ctrl,zloof shpaf zav shoov
36,shoov,zav,shpaf,zloof,ctrl,shoov zav shpaf zloof
37,zoof,shaf,zlav,shpoov,ctrl,zoof shaf zlav shpoov
38,zlav,shaf,zoof,shpoov,ctrl,zlav shaf zoof shpoov
39,shaf,zoof,shpoov,zlav,ctrl,shaf zoof shpoov zlav
40,shpoov,zoof,shaf,zlav,ctrl,shpoov zoof shaf zlav
41,zoov,shav,zlaf,shpoof,ctrl,zoov shav zlaf shpoof
42,zlaf,shav,zoov,shpoof,ctrl,zlaf shav zoov shpoof
43,shav,zoov,shpoof,zlaf,ctrl,shav zoov shpoof zlaf
44,shpoof,zoov,shav,zlaf,ctrl,shpoof zoov shav zlaf
45,zaf,shoof,zloov,shpav,ctrl,zaf shoof zloov shpav
46,zloov,shoof,zaf,shpav,ctrl,zloov shoof zaf shpav
47,shoof,zaf,shpav,zloov,ctrl,shoof zaf shpav zloov
48,shpav,zaf,shoof,zloov,ctrl,shpav zaf shoof zloov
49,zav,shpoov,zloof,shaf,fam,zav shpoov zloof shaf
50,shaf,zloof,shpoov,zav,fam,shaf zloof shpoov zav
51,zav,shpaf,zloov,shoof,fam,zav shpaf zloov shoof
52,shoof,zloov,shpaf,zav,fam,shoof zloov shpaf zav
53,zav,shpoof,zloov,shaf,fam,zav shpoof zloov shaf
54,shaf,zloov,shpoof,zav,fam,shaf zloov shpoof zav
55,zav,shpoov,zlaf,shoof,fam,zav shpoov zlaf shoof
56,shoof,zlaf,shpoov,zav,fam,shoof zlaf shpoov zav
57,zav,shpoof,zlaf,shoov,fam,zav shpoof zlaf shoov
58,shoov,zlaf,shpoof,zav,fam,shoov zlaf shpoof zav
59,zoof,shpaf,zlav,shoov,fam,zoof shpaf zlav shoov
60,shoov,zlav,shpaf,zoof,fam,shoov zlav shpaf zoof
61,zoof,shpaf,zloov,shav,fam,zoof shpaf zloov shav
62,shav,zloov,shpaf,zoof,fam,shav zloov shpaf zoof
63,zoof,shpav,zloov,shaf,fam,zoof shpav zloov shaf
64,shaf,zloov,shpav,zoof,fam,shaf zloov shpav zoof
65,zoof,shpoov,zlaf,shav,fam,zoof shpoov zlaf shav
66,shav,zlaf,shpoov,zoof,fam,shav zlaf shpoov zoof
67,zoof,shpav,zlaf,shoov,fam,zoof shpav zlaf shoov
68,shoov,zlaf,shpav,zoof,fam,shoov zlaf shpav zoof
69,zoov,shpaf,zlav,shoof,fam,zoov shpaf zlav shoof
70,shoof,zlav,shpaf,zoov,fam,shoof zlav shpaf zoov
71,zoov,shpoof,zlav,shaf,fam,zoov shpoof zlav shaf
72,shaf,zlav,shpoof,zoov,fam,shaf zlav shpoof zoov
73,zoov,shpaf,zloof,shav,fam,zoov shpaf zloof shav
74,shav,zloof,shpaf,zoov,fam,shav zloof shpaf zoov
75,zoov,shpav,zloof,shaf,fam,zoov shpav zloof shaf
76,shaf,zloof,shpav,zoov,fam,shaf zloof shpav zoov
77,zoov,shpav,zlaf,shoof,fam,zoov shpav zlaf shoof
78,shoof,zlaf,shpav,zoov,fam,shoof zlaf shpav zoov
79,zaf,shpoov,zlav,shoof,fam,zaf shpoov zlav shoof
80,shoof,zlav,shpoov,zaf,fam,shoof zlav shpoov zaf
81,zaf,shpoof,zlav,shoov,fam,zaf shpoof zlav shoov
82,shoov,zlav,shpoof,zaf,fam,shoov zlav shpoof zaf
83,zaf,shpoov,zloof,shav,fam,zaf shpoov zloof shav
84,shav,zloof,shpoov,zaf,fam,shav zloof shpoov zaf
85,zaf,shpav,zloof,shoov,fam,zaf shpav zloof shoov
86,shoov,zloof,shpav,zaf,fam,shoov zloof shpav zaf
87,zaf,shpoof,zloov,shav,fam,zaf shpoof zloov shav
88,shav,zloov,shpoof,zaf,fam,shav zloov shpoof zaf